用户ID,商品ID,行为类型,日期,小时
100,2158340,fav,2017-11-27,0
100,598929,pv,2017-11-27,0
100,4182583,pv,2017-11-27,1
100,1819306,pv,2017-11-27,1
100,4182583,pv,2017-11-27,2
100,2337874,pv,2017-11-27,2
100,3658601,pv,2017-11-27,4
100,5153036,pv,2017-11-27,4
100,598929,buy,2017-11-27,5
100,3245421,pv,2017-11-27,5
100,598929,pv,2017-11-27,6
100,2971043,pv,2017-11-27,6
100,4661590,pv,2017-11-27,6
100,4902636,pv,2017-11-27,6
100,1046201,pv,2017-11-27,6
100,3687011,pv,2017-11-27,6
100,2677866,pv,2017-11-27,7
100,4492008,pv,2017-11-27,7
100,2690154,pv,2017-11-27,7
100,4341929,fav,2017-11-27,7
100,4863356,pv,2017-11-27,7
100,4244099,pv,2017-11-27,7
100,562760,pv,2017-11-27,7
100,4863356,pv,2017-11-27,7
100,1640913,pv,2017-11-27,7
100,2206711,pv,2017-11-27,7
100,3895389,pv,2017-11-27,7
100,1046201,buy,2017-11-27,7
100,2434962,pv,2017-11-27,7
100,3245421,pv,2017-11-27,8
100,2434962,pv,2017-11-27,8
100,3629289,pv,2017-11-27,9
100,4075065,pv,2017-11-27,9
100,1606258,buy,2017-11-27,13
100,4840649,buy,2017-11-27,13
100,2574432,pv,2017-11-27,13
100,251391,buy,2017-11-27,13
100,510936,pv,2017-11-27,13
100,251391,pv,2017-11-27,13
100,4840649,pv,2017-11-27,13
100,3245421,pv,2017-11-27,23
100,4075065,pv,2017-11-27,23
100,251391,pv,2017-11-27,23
100,1606258,pv,2017-11-27,23
100,4075065,buy,2017-11-28,1
100,4840649,pv,2017-11-28,11
100,251391,pv,2017-11-28,11
100,4075065,pv,2017-11-28,11
100,1606258,pv,2017-11-28,11
100,1046201,pv,2017-11-28,11
100,251391,pv,2017-11-29,4
100,4840649,pv,2017-11-29,4
100,1606258,pv,2017-11-29,4
100,137999,pv,2017-12-01,10
100,1203280,pv,2017-12-01,10
100,2322855,pv,2017-12-01,14
100,4140845,pv,2017-12-02,0
100,3656511,pv,2017-12-02,1
100,2772937,pv,2017-12-02,5
100,2859169,pv,2017-12-02,7
100,1212558,pv,2017-12-03,12
1000,1385281,pv,2017-11-24,16
1000,5120034,cart,2017-11-24,16
1000,1953489,pv,2017-11-24,17
1000,408860,pv,2017-11-24,17
1000,4590199,pv,2017-11-24,17
1000,1976168,pv,2017-11-24,17
1000,4590199,pv,2017-11-24,17
1000,3722942,pv,2017-11-25,0
1000,3059682,pv,2017-11-25,0
1000,4774231,pv,2017-11-25,0
1000,2599546,fav,2017-11-25,1
1000,1501998,pv,2017-11-26,0
1000,2593031,pv,2017-11-26,0
1000,1797452,fav,2017-11-26,0
1000,3869395,pv,2017-11-26,0
1000,3302343,pv,2017-11-26,0
1000,5120034,pv,2017-11-27,0
1000,1186274,fav,2017-11-27,0
1000,4417931,pv,2017-11-27,1
1000,4769300,pv,2017-11-27,1
1000,2956844,fav,2017-11-28,10
1000,544269,pv,2017-11-28,10
1000,2956844,pv,2017-11-28,10
1000,4402665,pv,2017-11-28,10
1000,3011372,pv,2017-11-28,10
1000,4487355,fav,2017-11-28,10
1000,4185482,pv,2017-11-28,13
1000,2594546,pv,2017-11-29,5
1000,3255674,pv,2017-11-29,5
1000,2153891,pv,2017-11-29,5
1000,1925478,pv,2017-11-29,8
1000,4793529,pv,2017-11-29,14
1000,4827739,fav,2017-11-29,16
1000,843246,cart,2017-11-29,16
1000,848341,pv,2017-11-29,16
1000,203347,pv,2017-11-29,16
1000,4950759,pv,2017-11-30,11
1000,2033067,pv,2017-11-30,11
1000,1822774,pv,2017-11-30,11
1000,543879,pv,2017-11-30,11
1000,462579,pv,2017-11-30,11
1000,1822774,pv,2017-11-30,11
1000,4720367,pv,2017-11-30,11
1000,1520357,pv,2017-11-30,11
1000,1373387,pv,2017-11-30,11
1000,1109842,pv,2017-11-30,11
1000,2196555,pv,2017-11-30,11
1000,4240134,pv,2017-11-30,11
1000,1907674,pv,2017-11-30,11
1000,1922292,fav,2017-11-30,11
1000,2033067,pv,2017-11-30,12
1000,4778761,pv,2017-11-30,12
1000,2663756,pv,2017-11-30,12
1000,4064135,fav,2017-11-30,12
1000,2663756,pv,2017-11-30,12
1000,620939,pv,2017-11-30,12
1000,2339773,pv,2017-11-30,12
1000,4444531,pv,2017-11-30,12
1000,694225,pv,2017-11-30,12
1000,4599135,pv,2017-12-02,15
1000,3532002,pv,2017-12-02,15
1000,3872382,fav,2017-12-02,15
1000,2412328,pv,2017-12-02,15
1000,3532002,pv,2017-12-02,15
1000,3877041,pv,2017-12-02,15
1000,308742,pv,2017-12-02,15
1000,3214150,pv,2017-12-02,15
1000,2340930,fav,2017-12-02,15
1000,1409153,pv,2017-12-02,15
1000,2340930,pv,2017-12-02,16
1000,1585986,pv,2017-12-02,16
1000,3259125,fav,2017-12-02,16
1000,3595165,pv,2017-12-03,0
1000,3899295,pv,2017-12-03,0
1000,2757984,pv,2017-12-03,0
1000,4236281,pv,2017-12-03,0
1000,3595165,pv,2017-12-03,0
1000,1064699,pv,2017-12-03,0
1000,3172476,fav,2017-12-03,0
1000,1420706,pv,2017-12-03,1
1000,3507039,pv,2017-12-03,1
1000001,1649625,pv,2017-11-27,16
1000001,250452,pv,2017-11-27,17
1000001,1649625,pv,2017-11-27,17
1000001,3093290,pv,2017-11-28,2
1000001,4343896,pv,2017-11-28,15
1000001,3132168,pv,2017-11-28,15
1000001,1582853,pv,2017-11-28,15
1000001,4567929,pv,2017-11-28,15
1000001,2895228,pv,2017-11-28,15
1000001,823063,pv,2017-11-28,15
1000001,2999487,pv,2017-11-29,3
1000001,1339050,pv,2017-11-29,14
1000001,4636765,pv,2017-11-29,14
1000001,2428634,pv,2017-11-29,14
1000001,4636765,pv,2017-11-29,14
1000001,1112446,pv,2017-11-29,14
1000001,1678636,pv,2017-11-29,14
1000001,1546182,pv,2017-11-29,14
1000001,4636765,pv,2017-11-30,5
1000001,2527684,pv,2017-11-30,5
1000001,1649625,pv,2017-11-30,14
1000001,1542066,pv,2017-11-30,14
1000001,1649625,pv,2017-12-01,8
1000001,1542066,pv,2017-12-01,14
1000001,1649625,pv,2017-12-02,10
1000001,778160,pv,2017-12-02,10
1000001,4088463,pv,2017-12-03,0
1000001,4418456,pv,2017-12-03,0
1000001,4340362,pv,2017-12-03,0
1000001,1554801,pv,2017-12-03,1
1000001,5081961,pv,2017-12-03,1
1000001,4210726,pv,2017-12-03,1
1000001,4088463,buy,2017-12-03,1
1000001,5095065,pv,2017-12-03,1
1000001,584577,pv,2017-12-03,1
1000004,2156592,pv,2017-11-24,16
1000004,1591982,pv,2017-11-24,16
1000004,3854178,pv,2017-11-25,1
1000004,3999536,cart,2017-11-25,1
1000004,4426549,pv,2017-11-25,1
1000004,1591982,pv,2017-11-25,1
1000004,864562,pv,2017-11-25,15
1000004,2980887,cart,2017-11-26,4
1000004,4324270,pv,2017-11-26,4
1000004,2942146,pv,2017-11-26,4
1000004,4839543,pv,2017-11-26,4
1000004,1133834,pv,2017-11-26,4
1000004,4839543,pv,2017-11-26,4
1000004,59883,pv,2017-11-26,4
1000004,4317893,pv,2017-11-26,4
1000004,950087,pv,2017-11-26,4
1000004,4093990,pv,2017-11-26,5
1000004,522765,pv,2017-11-26,5
1000004,4763968,pv,2017-11-26,5
1000004,4093990,pv,2017-11-26,5
1000004,955594,pv,2017-11-26,13
1000004,2473596,pv,2017-11-26,13
1000004,2998425,pv,2017-11-26,13
1000004,1226070,pv,2017-11-26,13
1000004,2053091,pv,2017-11-26,13
1000004,4763968,pv,2017-11-26,13
1000004,1956224,pv,2017-11-26,13
1000004,40945,pv,2017-11-26,13
1000004,4192217,pv,2017-11-26,13
1000004,4823342,pv,2017-11-26,13
1000004,105055,pv,2017-11-26,13
1000004,162597,pv,2017-11-26,13
1000004,5028560,pv,2017-11-26,13
1000004,2526169,pv,2017-11-26,13
1000004,925404,pv,2017-11-26,13
1000004,1591982,pv,2017-11-26,14
1000004,3693424,pv,2017-11-26,14
1000004,3999536,pv,2017-11-26,16
1000004,1839512,pv,2017-11-27,12
1000004,4686539,pv,2017-11-27,12
1000004,1839512,pv,2017-11-27,12
1000004,2765156,pv,2017-11-29,14
1000004,522765,pv,2017-11-29,14
1000004,2980887,pv,2017-11-29,14
1000004,1228106,pv,2017-11-29,14
1000004,4324270,pv,2017-11-29,14
1000004,5125742,pv,2017-11-29,14
1000004,571666,pv,2017-11-29,14
1000004,1975544,pv,2017-11-29,14
1000004,4324270,pv,2017-11-29,14
1000004,1757180,pv,2017-11-29,14
1000004,899145,pv,2017-11-29,14
1000004,2111992,pv,2017-11-29,14
1000004,1317750,cart,2017-11-29,14
1000004,4457235,pv,2017-11-29,14
1000004,1317750,pv,2017-11-29,14
1000004,1080797,pv,2017-11-29,14
1000004,479737,pv,2017-11-29,14
1000004,1863103,pv,2017-11-29,14
1000004,4363399,pv,2017-11-29,14
1000004,3417098,pv,2017-11-29,14
1000004,1757180,pv,2017-11-29,14
1000004,3235373,pv,2017-11-29,14
1000004,955501,pv,2017-11-29,14
1000004,996928,pv,2017-11-29,14
1000004,4322536,pv,2017-11-29,14
1000004,955501,pv,2017-11-29,14
1000004,3525158,pv,2017-11-29,14
1000004,4823342,pv,2017-11-29,14
1000004,3525158,pv,2017-11-29,14
1000004,955594,pv,2017-11-29,14
1000004,2187324,pv,2017-11-29,14
1000004,2072281,pv,2017-11-29,14
1000004,2187324,pv,2017-11-29,14
1000004,1317750,pv,2017-11-29,14
1000004,40945,pv,2017-11-29,14
1000004,3999536,pv,2017-11-29,14
1000004,4948650,pv,2017-11-29,14
1000004,2750431,pv,2017-11-29,14
1000004,3950842,pv,2017-11-29,14
1000004,1047994,pv,2017-11-29,14
1000004,2086446,pv,2017-11-29,14
1000004,2053091,pv,2017-11-29,14
1000004,155433,pv,2017-11-29,14
1000004,3404302,pv,2017-11-29,14
1000004,2104182,pv,2017-11-29,14
1000004,372559,pv,2017-11-29,14
1000004,2623735,pv,2017-11-29,14
1000004,5150592,pv,2017-11-29,14
1000004,1591982,pv,2017-11-29,14
1000004,1709587,pv,2017-11-29,15
1000004,1928635,pv,2017-11-29,15
1000004,5064213,pv,2017-11-29,15
1000004,797408,pv,2017-11-29,15
1000004,1317750,pv,2017-11-30,16
1000004,5098344,pv,2017-11-30,16
1000004,3600228,pv,2017-11-30,16
1000004,2053091,pv,2017-11-30,16
1000004,3854178,pv,2017-11-30,16
1000004,1093023,pv,2017-11-30,16
1000004,1317750,pv,2017-12-01,4
1000004,342576,pv,2017-12-02,0
1000004,755883,pv,2017-12-02,0
1000004,1848924,pv,2017-12-02,0
1000004,2003884,pv,2017-12-02,0
1000004,3130844,pv,2017-12-02,0
1000004,3704153,pv,2017-12-02,0
1000004,3894780,pv,2017-12-02,0
1000004,4445384,pv,2017-12-02,0
1000004,1994706,pv,2017-12-02,0
1000004,4468378,pv,2017-12-02,0
1000004,1508681,pv,2017-12-02,0
1000004,2649069,pv,2017-12-02,0
1000004,1249526,pv,2017-12-02,0
1000004,3499937,pv,2017-12-02,13
1000004,1009181,pv,2017-12-02,13
1000004,2980887,pv,2017-12-02,13
1000004,2530508,pv,2017-12-02,13
1000004,2050919,pv,2017-12-02,13
1000004,1734054,pv,2017-12-02,13
1000004,4802868,pv,2017-12-02,13
1000004,479737,pv,2017-12-02,13
1000004,1913554,pv,2017-12-02,13
1000004,5134190,pv,2017-12-03,4
1000004,1080797,pv,2017-12-03,4
1000004,1263902,pv,2017-12-03,4
1000004,1317750,pv,2017-12-03,7
1000004,4457235,pv,2017-12-03,7
1000004,1317750,pv,2017-12-03,7
1000011,3991727,buy,2017-11-25,1
1000011,1882842,pv,2017-11-25,1
1000011,387414,pv,2017-11-25,1
1000011,1345921,pv,2017-11-25,1
1000011,3450365,pv,2017-11-25,1
1000011,4683193,pv,2017-11-25,1
1000011,3993081,pv,2017-11-25,2
1000011,1345921,pv,2017-11-25,2
1000011,1386216,pv,2017-11-25,3
1000011,1345921,pv,2017-11-25,3
1000011,106742,pv,2017-11-25,3
1000011,1345921,pv,2017-11-25,3
1000011,106154,pv,2017-11-25,3
1000011,1345921,pv,2017-11-25,3
1000011,3968124,pv,2017-11-25,3
1000011,4023750,pv,2017-11-25,3
1000011,3901073,pv,2017-11-25,3
1000011,106742,pv,2017-11-25,3
1000011,841993,pv,2017-11-25,3
1000011,106742,fav,2017-11-25,4
1000011,1345921,pv,2017-11-25,4
1000011,106742,pv,2017-11-25,5
1000011,3991727,pv,2017-11-25,5
1000011,4712342,pv,2017-11-25,5
1000011,4320095,pv,2017-11-25,5
1000011,3738566,pv,2017-11-25,5
1000011,3993081,pv,2017-11-25,8
1000011,387414,fav,2017-11-25,9
1000011,1686875,pv,2017-11-25,9
1000011,404297,pv,2017-11-25,9
1000011,387414,pv,2017-11-25,9
1000011,404297,fav,2017-11-25,9
1000011,387414,pv,2017-11-25,9
1000011,3581811,pv,2017-11-25,9
1000011,106742,pv,2017-11-25,9
1000011,404297,pv,2017-11-25,9
1000011,106742,pv,2017-11-25,9
1000011,404297,pv,2017-11-25,9
1000011,106742,pv,2017-11-25,9
1000011,404297,buy,2017-11-25,9
1000011,4802280,pv,2017-11-25,9
1000011,1705898,pv,2017-11-25,10
1000011,3993081,pv,2017-11-25,10
1000011,404297,pv,2017-11-25,23
1000011,2063292,pv,2017-11-25,23
1000011,3993081,pv,2017-11-26,0
1000011,1686875,pv,2017-11-26,1
1000011,3531412,pv,2017-11-26,1
1000011,293346,pv,2017-11-26,1
1000011,3993081,pv,2017-11-26,2
1000011,1705898,pv,2017-11-26,2
1000011,404297,pv,2017-11-26,4
1000011,2269790,pv,2017-11-26,6
1000011,730324,pv,2017-11-26,6
1000011,1866283,pv,2017-11-26,6
1000011,3978773,pv,2017-11-26,6
1000011,237076,pv,2017-11-26,8
1000011,293346,pv,2017-11-26,8
1000011,3991727,pv,2017-11-26,8
1000011,404297,pv,2017-11-26,8
1000011,106742,pv,2017-11-26,8
1000011,404297,pv,2017-11-26,8
1000011,293346,pv,2017-11-26,12
1000011,4802280,pv,2017-11-26,23
1000011,404297,pv,2017-11-27,8
1000011,1562898,pv,2017-11-27,8
1000011,514051,pv,2017-11-27,8
1000011,1684440,pv,2017-11-27,10
1000011,1891373,pv,2017-11-27,10
1000011,751298,pv,2017-11-27,10
1000011,4503852,pv,2017-11-27,10
1000011,2531901,pv,2017-11-27,10
1000011,404297,pv,2017-11-28,4
1000011,2237806,pv,2017-11-28,4
1000011,106742,pv,2017-11-28,7
1000011,404297,pv,2017-11-28,7
1000011,106742,pv,2017-11-28,7
1000011,2740307,pv,2017-11-28,8
1000011,1624701,pv,2017-11-28,8
1000011,1461565,pv,2017-11-28,8
1000011,3844964,pv,2017-11-28,8
1000011,2114287,pv,2017-11-28,8
1000011,3048034,pv,2017-11-28,8
1000011,3358820,pv,2017-11-28,8
1000011,404297,pv,2017-11-29,3
1000011,453400,pv,2017-11-29,9
1000011,1812250,pv,2017-11-29,14
1000011,3735114,pv,2017-12-01,4
1000011,2044407,fav,2017-12-01,5
1000011,84400,pv,2017-12-01,5
1000011,4418560,pv,2017-12-01,5
1000011,1247347,fav,2017-12-01,5
1000011,1969563,pv,2017-12-01,5
1000011,4632023,fav,2017-12-02,13
1000011,4473980,fav,2017-12-03,2
1000011,4061696,pv,2017-12-03,3
1000011,1706873,pv,2017-12-03,3
1000011,3488746,pv,2017-12-03,3
1000011,407610,pv,2017-12-03,3
1000011,1132774,pv,2017-12-03,3
1000011,931044,fav,2017-12-03,10
100002,5038146,pv,2017-11-25,11
100002,4402663,pv,2017-11-25,11
100002,2962064,pv,2017-11-25,11
100002,3323002,pv,2017-11-25,11
100002,1388422,pv,2017-11-25,11
100002,3034883,pv,2017-11-25,12
100002,1430817,pv,2017-11-25,12
100002,5038146,pv,2017-11-25,12
100002,3425923,pv,2017-11-25,12
100002,5679,pv,2017-11-25,12
100002,1818697,pv,2017-11-25,12
100002,1822618,pv,2017-11-25,12
100002,1903110,pv,2017-11-25,12
100002,3313603,pv,2017-11-26,5
100002,4583352,pv,2017-11-26,5
100002,4334235,pv,2017-11-26,5
100002,3531454,pv,2017-11-26,5
100002,4334235,pv,2017-11-26,5
100002,1217377,pv,2017-11-26,5
100002,4334235,pv,2017-11-26,5
100002,5038146,pv,2017-11-26,14
100002,324802,pv,2017-11-26,14
100002,1309000,pv,2017-11-26,14
100002,332222,pv,2017-11-26,14
100002,3688473,pv,2017-11-26,14
100002,332222,pv,2017-11-26,14
100002,1585267,pv,2017-11-28,3
100002,1643256,pv,2017-11-28,3
100002,1585267,pv,2017-11-28,3
100002,2968522,pv,2017-11-28,5
100002,1585267,pv,2017-11-28,5
100002,2968522,fav,2017-11-28,5
100002,1585267,pv,2017-11-28,5
100002,2452885,fav,2017-11-28,7
100002,1585267,pv,2017-11-28,9
100002,2452885,pv,2017-11-28,9
100002,1585267,pv,2017-11-28,9
100002,2452885,pv,2017-11-28,9
100002,2968522,pv,2017-11-28,9
100002,2452885,pv,2017-11-28,10
100002,5159088,pv,2017-11-28,10
100002,2452885,pv,2017-11-28,10
100002,2500376,pv,2017-11-28,11
100002,2452885,pv,2017-11-28,11
100002,4417361,pv,2017-11-28,12
100002,2452885,pv,2017-11-28,12
100002,4928571,fav,2017-11-28,12
100002,2452885,pv,2017-11-28,12
100002,2953031,pv,2017-11-28,13
100002,2452885,pv,2017-11-28,13
100002,4417361,pv,2017-11-28,14
100002,2928801,pv,2017-11-29,6
100002,4046253,fav,2017-11-29,8
100002,3065876,pv,2017-11-29,11
100002,2971911,pv,2017-11-30,0
100002,2667139,pv,2017-11-30,0
100002,2393145,pv,2017-11-30,5
100002,2976687,fav,2017-11-30,5
100002,2393145,pv,2017-11-30,5
100002,3619456,pv,2017-11-30,7
100002,1372665,pv,2017-11-30,7
100002,3710028,pv,2017-11-30,7
100002,2976687,pv,2017-11-30,11
100002,3121556,pv,2017-11-30,11
100002,2976687,buy,2017-11-30,12
100002,4928571,pv,2017-11-30,12
100002,2976687,pv,2017-11-30,13
100002,3068128,pv,2017-11-30,13
100002,2976687,pv,2017-11-30,14
100002,305613,pv,2017-11-30,15
100002,437789,pv,2017-11-30,15
100002,4046253,pv,2017-11-30,15
100002,437789,pv,2017-12-01,0
100002,2826944,pv,2017-12-01,8
100002,2279428,pv,2017-12-01,8
100002,2667139,pv,2017-12-01,12
100002,3644430,fav,2017-12-01,12
100002,2472257,pv,2017-12-01,12
100002,3935544,pv,2017-12-02,10
100002,4564039,pv,2017-12-02,10
100002,2660418,pv,2017-12-02,11
100002,2948973,pv,2017-12-02,11
100002,3532599,pv,2017-12-03,3
100002,2657432,pv,2017-12-03,3
100002,3532599,pv,2017-12-03,3
100002,2332194,fav,2017-12-03,8
100002,4046253,pv,2017-12-03,8
100002,2452885,pv,2017-12-03,8
100002,1177587,pv,2017-12-03,9
100002,3056094,pv,2017-12-03,9
100002,2928801,pv,2017-12-03,9
100002,3967184,pv,2017-12-03,15
1000027,946651,pv,2017-11-26,12
1000027,2070173,cart,2017-11-26,13
1000027,1934938,buy,2017-11-29,5
1000027,1688132,pv,2017-12-01,10
1000027,3713945,pv,2017-12-01,10
1000027,1688132,pv,2017-12-01,10
1000027,2327305,cart,2017-12-01,15
1000027,4302745,pv,2017-12-01,16
1000027,3662830,cart,2017-12-01,16
1000027,4302745,cart,2017-12-01,16
1000027,646869,cart,2017-12-01,16
1000027,4302745,pv,2017-12-01,16
1000027,2913671,pv,2017-12-01,16
1000027,1027890,pv,2017-12-01,16
1000027,2277034,pv,2017-12-01,16
1000027,1027890,pv,2017-12-01,16
1000027,4070233,pv,2017-12-01,16
1000027,1175547,pv,2017-12-02,8
1000027,3241094,buy,2017-12-03,15
1000028,1850341,pv,2017-11-26,8
1000028,2428956,pv,2017-11-27,0
1000028,4717045,pv,2017-11-27,0
1000028,5049814,pv,2017-11-27,1
1000028,2335149,pv,2017-11-27,1
1000028,1317359,pv,2017-11-27,1
1000028,2006028,pv,2017-11-27,1
1000028,855217,fav,2017-11-27,1
1000028,2842089,pv,2017-11-27,1
1000028,2217534,pv,2017-11-27,1
1000028,2842089,pv,2017-11-27,1
1000028,2217534,pv,2017-11-27,1
1000028,855217,pv,2017-11-27,1
1000028,3359227,pv,2017-11-27,1
1000028,560931,pv,2017-11-27,1
1000028,5049814,pv,2017-11-27,1
1000028,2955350,pv,2017-11-27,6
1000028,5049814,pv,2017-11-27,6
1000028,4472519,pv,2017-11-27,6
1000028,2955350,pv,2017-11-28,7
1000028,642845,pv,2017-11-28,7
1000028,5154311,pv,2017-11-28,7
1000028,2828948,fav,2017-11-28,7
1000028,829118,pv,2017-11-28,7
1000028,2678166,pv,2017-11-28,7
1000028,4291755,pv,2017-11-28,7
1000028,4889909,pv,2017-11-28,7
1000028,4598217,pv,2017-11-28,7
1000028,4098799,pv,2017-11-28,7
1000028,2136750,pv,2017-11-28,7
1000028,2750042,pv,2017-11-28,7
1000028,4242144,pv,2017-11-28,7
1000028,1242478,pv,2017-11-28,7
1000028,4663975,pv,2017-11-28,7
1000028,2723903,pv,2017-11-28,8
1000028,1242478,pv,2017-11-28,8
1000028,4908288,pv,2017-11-28,8
1000028,855217,pv,2017-11-28,8
1000028,2842089,pv,2017-11-28,8
1000028,461271,pv,2017-11-28,8
1000028,4022391,pv,2017-11-28,8
1000028,4818655,pv,2017-11-28,8
1000028,461271,fav,2017-11-28,8
1000028,855217,pv,2017-11-28,8
1000028,4908288,pv,2017-11-28,8
1000028,461271,pv,2017-11-28,8
1000028,4908288,pv,2017-11-28,8
1000028,461271,pv,2017-11-28,8
1000028,2217534,pv,2017-11-28,8
1000028,4818655,pv,2017-11-28,8
1000028,2678166,pv,2017-11-28,8
1000028,4650996,pv,2017-11-28,8
1000028,560931,pv,2017-11-28,8
1000028,3418092,pv,2017-11-28,8
1000028,1982857,pv,2017-11-28,8
1000028,2132929,pv,2017-11-28,8
1000028,890987,pv,2017-11-28,8
1000028,2440378,pv,2017-11-28,8
1000028,3822894,cart,2017-11-28,8
1000028,2203246,pv,2017-11-28,8
1000028,2190231,pv,2017-11-28,8
1000028,1358583,pv,2017-11-28,8
1000028,557241,pv,2017-11-28,8
1000028,1358583,pv,2017-11-28,8
1000028,1340093,pv,2017-11-28,8
1000028,4905597,pv,2017-11-28,8
1000028,1261381,pv,2017-11-28,8
1000028,3603317,pv,2017-11-28,8
1000028,2621260,pv,2017-11-29,5
1000028,778926,pv,2017-11-29,5
1000028,2621260,buy,2017-11-29,5
1000028,461271,pv,2017-11-29,5
1000028,1910706,buy,2017-12-01,7
1000028,4978290,pv,2017-12-01,7
1000028,1910706,pv,2017-12-01,7
1000028,4416401,pv,2017-12-01,7
1000028,2342307,pv,2017-12-01,7
1000028,2026617,pv,2017-12-01,7
1000028,1265647,pv,2017-12-01,7
1000028,2026617,fav,2017-12-01,7
1000028,3582347,pv,2017-12-01,15
1000028,4949016,pv,2017-12-02,0
1000028,3241217,pv,2017-12-02,0
1000028,1391781,pv,2017-12-02,4
1000028,2750042,pv,2017-12-02,5
1000028,510539,pv,2017-12-02,11
1000028,3083031,pv,2017-12-02,11
1000028,3723578,fav,2017-12-02,11
1000028,4757411,pv,2017-12-02,11
1000028,2014138,pv,2017-12-02,12
1000028,2726698,fav,2017-12-02,12
1000028,3442548,pv,2017-12-02,12
1000028,2384317,pv,2017-12-02,12
1000028,100391,pv,2017-12-02,12
1000028,5024882,pv,2017-12-02,12
1000028,863811,buy,2017-12-02,13
1000028,3947413,pv,2017-12-03,1
1000028,4640069,pv,2017-12-03,2
1000028,3796824,pv,2017-12-03,2
1000028,2600649,pv,2017-12-03,2
1000028,3947413,buy,2017-12-03,2
1000028,1059099,pv,2017-12-03,14
1000028,5015377,pv,2017-12-03,14
1000028,3717564,pv,2017-12-03,14
1000028,4519765,pv,2017-12-03,14
1000028,3864020,pv,2017-12-03,14
1000028,4627188,pv,2017-12-03,14
1000028,1045462,pv,2017-12-03,14
1000028,1268758,pv,2017-12-03,14
1000028,1451706,pv,2017-12-03,14
1000028,1566478,pv,2017-12-03,14
1000028,1073874,pv,2017-12-03,14
1000028,124229,pv,2017-12-03,14
1000028,2234644,pv,2017-12-03,14
1000028,3984897,pv,2017-12-03,14
1000028,1893062,pv,2017-12-03,14
1000028,1278804,cart,2017-12-03,15
1000028,3783653,cart,2017-12-03,15
